emoji,label,word_count,fit3_count,words
😈,smiling face with horns,87,2,devil;evil;corrupt;corruption;cruel;cruelty;devilish;devious;diabolic;diabolical;heinous;immoral;imp;impish;infamous;infamy;malevolent;malice;malicious;misbehave;mischief;mischievous;naughty;nefarious;nemesis;notorious;perverse;rascal;revenge;revengeful;ruthless;sadist;sadistic;satanic;scheming;scoundrel;sin;sinful;sinister;sinner;tempt;temptation;temptress;wicked;accursed;bedevil;bedevilment;corruptible;dastardly;deprave;depraved;depravity;devilment;deviltry;hellion;heresy;heretic;immorality;impious;incorrigible;iniquitous;iniquity;knavery;knavish;malevolence;malign;malignity;maltreat;maltreatment;misbehavior;miscreant;misdeed;misdoing;nemeses;perpetrate;perpetration;perversion;perversity;pervert;rapscallion;reprobate;roguery;sadism;sociopath;unscrupulous;wanton;wayward
🔗,link,87,3,connect;connection;link;affiliate;bind;binding;bond;cohesion;cohesive;concatenation;conjoin;connected;connective;consolidate;consolidation;constrain;constraint;coupling;inseparable;integrate;integration;interconnect;interconnection;interlock;involve;involved;involvement;pertinent;whip;adjoin;affiliation;analogous;analogously;analogy;ancillary;appertain;apposition;appositive;apropos;associative;attributable;bound;but;by;coalesce;coalescence;codependency;codependent;cognate;cohere;coherence;coherent;collocate;collocation;conjugate;copula;despite;ere;fetish;fetishism;fetishist;germane;indissoluble;inextricable;interdependence;interdependent;interrelate;interrelated;it;its;liken;linkage;links;mere;merely;namely;nexus;of;other;ought;our;ours;pertain;pertinence;re;uncouple;whipping
😏,smirking face,87,2,smirk;smug;cheeky;cocky;dare;facetious;gloat;innuendo;ironic;irony;leer;mock;pert;provocative;pun;quip;ridicule;sardonic;shameless;snicker;taunt;wry;bawdy;beguile;beguilingly;cad;carnal;deride;derision;derisive;effrontery;entice;enticement;flippancy;flippant;gibe;glib;guile;guileful;horny;immodest;immodesty;impertinence;impertinent;impudence;impudent;inveigle;ironical;jibe;knowing;lascivious;lecher;lecherous;lechery;lewd;libertine;libidinous;libido;licentious;minx;mockery;mordant;prurience;prurient;puckish;punster;raillery;rakish;raunchy;ribald;ribaldry;risque;roguish;salacious;saucy;scalawag;scamp;seamy;smarmy;snigger;suggestive;tantalize;titillate;titillation;voluptuary;voluptuous;womanize
🤢,nauseated face,86,8,disgust;disgusted;filthy;nausea;nauseous;stink;yuck;yucky;abhor;abhorrence;abhorrent;bile;despicable;despise;detest;detestable;distaste;distasteful;execrable;fetid;filth;gross;hideous;icky;indigestion;loathe;loathing;malodorous;nasty;nauseate;odious;pus;putrefy;putrid;queasy;rancid;reek;repugnant;repulsive;retch;revolting;revulsion;sicken;sickening;smelly;spoil;spoiled;spoilt;squeamish;stench;stinking;ugly;unappetizing;unhealthy;vile;abominate;abomination;befoul;bilious;bulimia;bulimic;detestation;dysentery;dyspepsia;dyspeptic;fulsome;gastritis;indigestible;noisome;odium;peptic;ptomaine;putrefaction;putrescence;putrescent;repugnance;repulsion;scuzzy;sordid;squalid;squalor;stank;stunk;uncouth;unsavory;unwholesome
🏠️,house,86,9,attic;dwelling;home;house;porch;property;residence;roof;shelter;abode;address;balcony;base;bungalow;ceiling;domestic;domicile;dorm;dormitory;duplex;exterior;flat;gazebo;gutter;homey;inhabit;kennel;lodge;mortgage;occupancy;occupant;occupy;orphanage;overstay;realty;refuge;rent;rental;reside;residency;resident;residential;roofing;shingle;tenant;bases;billet;boarder;cohabit;cohabitation;commodious;domesticity;dormer;dwell;dwelt;eaves;flue;foster;frontage;gable;garret;habitability;habitable;habitation;hogan;homely;homeward;homewards;inhabitable;livable;liveable;lodger;manse;mortgagee;mortgager;patrimonial;patrimony;pentagon;pentagonal;propertied;repossess;repossession;roomer;siding;tenancy;weatherize
💬,speech balloon,86,6,caption;chat;comment;conversation;dialogue;text;anecdote;answer;banter;blurt;chatter;chatty;colloquium;commentary;communicate;compliment;confer;consult;consultation;conversational;converse;dialog;explain;explanation;haggle;interject;interjection;jargon;mention;monologue;phrase;quotation;quote;reply;respond;respondent;response;responsive;say;saying;word;anecdotal;answerable;aphorism;apprise;circumlocution;cliche;colloquia;colloquial;colloquialism;colloquy;communicative;connotation;connotative;connote;conversant;ejaculate;ejaculation;euphemism;euphemistic;explanatory;explicable;explicate;explication;expound;figurative;locution;misquotation;misquote;misstate;misstatement;monolog;phraseology;pidgin;platitude;polemic;polemical;prate;prattle;psychobabble;quotable;quoth;repartee;said;unbosom;wording
🦴,bone,83,2,bone;fossil;anatomic;anatomical;anatomy;arthritis;bony;chiropractor;clavicle;dislocate;dislocation;femur;fibula;fossilize;fracture;humerus;marrow;orthopedic;orthopedics;orthopedist;osteoporosis;paleontologist;paleontology;pelvis;phalanges;primal;primitive;rheumatic;rheumatism;scapula;scrawny;spine;sternum;tibia;ulna;ulnae;vertebra;vertebrae;anatomist;arthritic;boner;brace;calcify;carpal;cartilage;cartilaginous;cervical;cervices;cervix;chiropractic;coccyges;coccyx;fibulae;fossilization;frail;frailty;gaunt;groin;ligament;lumbar;mandible;mastoid;maxilla;maxillae;metacarpal;ossification;ossify;osteopath;osteopathy;pelvic;phalanx;pubic;rawboned;rickets;scapulae;sciatica;spinal;sterna;tibiae;vertebral;vertebrate;vestige;vestigial
🧵,thread,83,10,embroidery;fabric;quilt;sew;sewing;spool;stitch;string;tailor;thread;bobbin;cloth;doily;embroider;felt;fiber;fibre;fray;loom;material;mend;nylon;remnant;satin;seam;seamstress;silk;spindle;tapestry;textile;twine;velvet;weave;applique;bespoke;bespoken;brocade;burlap;cambric;chintz;chintzy;damask;darn;fibrous;gingham;gusset;hem;lining;lisle;madras;muslin;organdie;organdy;polyester;poplin;rayon;sartorial;sateen;satiny;selvage;selvedge;serge;sewn;silken;silky;sisal;smocking;stretchy;stringer;stringy;taffeta;tatting;tenuous;tweed;tweedy;twill;velour;velours;velveteen;velvety;weft;wove;woven
💨,dashing away,81,14,air;disappear;evaporate;evaporation;exhale;fart;inhale;inhaler;puff;smoke;speed;vanish;vapor;wind;billow;blow;blustery;breath;breathe;breathless;diffuse;diffusion;disappearance;dispersal;disperse;dispersion;dissipate;emission;emit;ether;exhalation;flatulence;flatulent;fumes;gassy;gust;gusty;hookah;impetuous;inhalation;rapid;rapidity;scatter;sigh;smoky;speedy;vaporize;vaporous;velocity;winded;windy;aerate;aeration;airy;billowy;blew;blown;blowsy;blowzy;bluster;breathable;breather;dispel;dissipated;dissipation;fizzle;gaseous;hurtle;impetuosity;inhalant;inhalator;labored;lee;pneumatic;rarefy;sped;sputter;vaporization;whoosh;wisp;wispy
😐️,neutral face,81,3,expressionless;indifference;indifferent;apathetic;apathy;bland;countenance;disinterested;dull;facial;impassive;insensitive;mediocre;monotone;nondescript;ordinary;passive;serious;solemn;stoic;unemotional;unimpressed;uninterested;ahem;aloof;banal;banality;callous;curt;disinterest;dispassionate;dullard;flavorless;humorless;impassivity;impenitence;impenitent;imperturbable;incurious;inscrutable;insensitivity;lineament;mediocrity;middling;mirthless;moderate;passionless;passivity;pasty;perfunctory;phlegmatic;prosaic;remorseless;repress;repression;repressive;solemnity;staid;stark;stoical;stoicism;stolid;trite;unblushing;unconcern;unconcerned;undemonstrative;unenthusiastic;uneventful;unexceptional;unfeeling;unflinching;unimaginative;unimpressive;uninspired;uninspiring;unmoved;unsentimental;vapid;vapidity;vapidness
📝,memo,81,9,assignment;essay;exam;examination;list;note;quiz;recipe;test;amend;applicant;application;apply;assign;critic;criticism;critique;describe;description;draft;editor;enrol;enroll;enrollment;errand;errata;essayist;itemize;lease;listing;memo;memorandum;notation;paragraph;plan;recap;resign;resignation;review;score;sentence;subtitle;summarize;summary;synopsis;textual;thesis;amendable;blurb;chit;descriptive;determiner;elaborate;elaboration;grievance;iambic;lessee;lessor;marginalia;memoranda;nominative;phrasal;preamble;predicate;predication;recapitulate;recapitulation;revocable;scenario;sententious;solecism;stipulate;stipulation;synopses;theses;transcription;verb;verbatim;verbiage;versification;wordy
💧,droplet,81,12,dew;drip;drop;droplet;dropper;irrigation;leak;liquid;moisture;puddle;water;wet;aqua;aquifer;cistern;condensation;condense;damp;dampen;dewy;dilute;dilution;dissolve;douse;fluid;gurgle;hydrate;instill;irrigate;leakage;leaky;liquefaction;liquefy;moist;osmosis;permeate;plop;purify;refreshing;runny;saliva;saturate;saturation;secrete;secretion;seep;swampy;trickle;watery;anoint;anointment;aqueous;brackish;clammy;dank;dehumidify;drippings;fluidity;glob;globule;hydrology;hydrophobia;hydrotherapy;hygrometer;imbue;instil;leach;limpid;limpidity;moisten;pellucid;permeability;permeable;piddle;plunk;potable;purification;salivary;serous;slake;sluice
💡,light bulb,80,11,bulb;chandelier;eureka;idea;innovation;insight;inspiration;invention;lamp;light;realize;advice;advise;aha;clarification;clarify;clarity;concept;conception;devise;dim;dimmer;enlighten;enlightened;enlightenment;filament;fixture;fluorescence;fluorescent;hint;illuminate;illumination;incandescent;ingenious;ingenuity;innovate;innovative;insightful;inspirational;inspire;invent;inventive;know;lighting;lit;lucid;neon;obvious;photon;realization;reinvent;resourceful;revelation;solution;strobe;suggest;suggestion;tip;advisability;advisable;advisedly;cogency;cogent;conceptual;conceptualize;diode;elucidate;elucidation;enterprising;gist;illumine;incandescence;knew;knowable;known;lighten;lucidity;realizable;seminal;xenon
📈,chart increasing,78,3,graph;increase;rise;advancement;altimeter;develop;developing;development;escalate;escalation;exacerbate;exacerbation;exceed;excel;expand;expandable;expansion;exponential;extrapolate;extrapolation;fad;figure;fluctuate;gain;growth;improve;improvement;increasingly;inflation;marketing;maximize;oscilloscope;overestimate;overrate;parabola;polygraph;productivity;progress;progression;proliferate;proliferation;resurgence;risen;seismograph;spike;stock;surge;ticker;trend;accession;accrue;ameliorate;amelioration;betterment;biorhythm;bullish;exceedingly;faddish;fluctuation;hyperbola;hyperbolic;inflationary;maxima;mounting;oodles;optima;parabolic;preferment;progressive;prolific;resurgent;rife;riser;seismographic;superabundance;superabundant;swell;tendency
📚️,books,78,10,encyclopedia;learn;learning;lesson;librarian;library;literature;nonfiction;publish;study;accumulate;accumulation;anthology;bestseller;bibliography;bibliophile;collection;compendium;compilation;compile;cram;curriculum;encyclopaedia;encyclopedic;fiction;fictional;heap;layer;literacy;literary;prep;sociology;studious;subject;teaching;thesaurus;trilogy;accumulative;anthologist;anthologize;antiquarian;bibliographic;bibliographical;bindery;carrel;compendia;corpora;corpus;curricula;didactic;edification;edify;fictionalize;gerund;illiteracy;illiterate;ineducable;learnt;lib;literati;overlaid;overlay;philological;philologist;philology;reeducate;sociologist;source;studied;syllabi;thesauri;unlearned;unlettered;unstudied;verbose;verbosity;versed;voluminous
📢,loudspeaker,78,6,advertisement;announce;intercom;loud;shout;yell;ad;advert;advertise;advertising;advocacy;advocate;aloud;announcement;announcer;claim;clamor;crier;declare;demonstrate;demonstration;demonstrator;disclose;disclosure;disseminate;dissemination;exaggerate;exaggeration;exhort;exhortation;incite;oversell;overstate;overstatement;preach;preacher;proclaim;promote;propaganda;publicist;publicity;publicize;raucous;shrill;adman;annunciation;ballyhoo;barker;cacophony;claimant;clamorous;declaim;declamation;declamatory;demagogic;demagogue;demagoguery;demagogy;demonstrative;denounce;denouncement;denunciation;impart;incitement;pitchman;populism;populist;promoter;promotional;promulgate;promulgation;pronouncement;propagandist;propagandize;purport;tendentious;tout;vociferous
😊,smiling face with smiling eyes,75,6,blush;happy;joy;proud;satisfied;smile;affable;amiable;amicable;cheek;congenial;contented;contentment;delight;delightful;dimple;enjoy;enjoyable;enjoyment;friendly;genial;glad;inviting;kind;nice;optimism;optimist;optimistic;pleasant;pleasing;pleasurable;pleasure;satisfaction;satisfy;uplifting;affability;amiability;amicability;becoming;becomingly;blithe;bonny;carefree;chipper;comely;complexion;congeniality;demure;disarming;engaging;felicitous;felicity;flatter;flattering;flatteringly;flattery;geniality;gladden;gratification;gratify;gratifying;kindly;likable;likeable;modest;modesty;personable;pleasantry;sanguine;simper;ungrudging;unoffensive;unpretentious;wholesome;winsome
🌳,deciduous tree,74,7,arboretum;bonsai;hedge;oak;orchard;shrub;tree;acacia;ancestry;arbor;baobab;beech;birch;bough;bush;canopy;clearing;conservation;conservationist;copse;elm;environment;environmental;genealogy;grove;hedgerow;hickory;poplar;resin;sap;shade;shrubbery;sycamore;thicket;trunk;willow;yew;alder;ancestral;animism;arboreal;arboreta;arbutus;aspen;banyan;bole;bower;bushy;cambium;camphor;catalpa;cinchona;clump;coppice;denude;dryad;genealogical;genealogist;ginkgo;glade;gnarled;ingrained;laburnum;leafless;linden;mesquite;oaken;privet;resinous;sassafras;shrubby;teak;willowy;xylem
🌊,water wave,74,9,erosion;flood;ocean;overflow;rapids;sea;tide;tsunami;wave;bay;bayou;choppy;confluence;current;dam;deep;deluge;depth;drown;ebb;engulf;erode;erosive;estuary;flow;gulf;inlet;inundate;inundation;oceanic;oceanography;outpouring;overseas;pacific;ripple;strait;submerge;submersion;sunk;sunken;surface;tidal;torrent;undersea;undertow;undulate;wavy;amplitude;antediluvian;awash;bight;breaker;deepen;desalinate;desalination;dyke;fathomless;firth;flounce;jetsam;levee;seaward;seawards;spate;submergence;transatlantic;transoceanic;tributary;unabated;undercurrent;undulation;unfathomable;weir;welter
😢,crying face,73,12,cried;cry;crying;sad;sadden;sorrow;sorrowful;tear;unhappy;upset;weep;weeping;bereavement;disconsolate;doleful;emotion;emotional;grief;grieve;lament;melancholy;mourn;mournful;mourning;pathetic;pitiful;pity;poignant;poor;tearful;tragedy;tragic;weepy;whimper;whine;affected;affecting;aggrieved;bathos;bereave;bereft;catharsis;cathartic;dirge;dolorous;elegy;forlorn;friendless;grievous;helpless;inhumane;inhumanity;lachrymal;lachrymose;lamentation;lugubrious;maudlin;mawkish;melancholia;melancholic;pathos;piteous;pitiable;plaint;plaintive;poignancy;sappy;snivel;underprivileged;wept;whiny;woe;woeful
😔,pensive face,72,2,depressed;depression;contrite;contrition;depressing;despair;despondency;despondent;discourage;discouragement;disgrace;disgraceful;dishonor;guilt;guilty;lonely;lonesome;longing;moody;mope;morose;pallid;pallor;regret;regretful;remorse;remorseful;rueful;somber;sulk;sulky;sullen;unfortunate;abase;abasement;alas;alienated;alienation;chasten;commiserate;commiseration;cuckold;demean;depress;depressive;despairingly;discouragingly;dishonorable;dispirit;dispirited;doldrums;downer;effete;emasculate;emasculation;enfeeble;euthanasia;hapless;ignoble;ignominious;ignominy;impotence;impotent;regrettable;resigned;rue;saturnine;spiritless;succumb;unappreciated;wan;wistful
🔀,shuffle tracks button,72,1,shuffle;alternate;alternative;combination;converge;convergence;convergent;difference;different;dissimilar;diverge;divergence;divergent;diversion;hybrid;jumble;merge;option;optional;permutation;rearrange;rearrangement;reshuffle;riffle;switch;toggle;variable;variation;vary;alternation;although;coincide;commingle;concurrent;decentralize;differ;differential;differentiate;differentiation;disassociate;discontinuity;discontinuous;disjointed;disparate;dissimilarity;dissociate;dissociation;dissolution;divers;diversionary;dual;either;else;garble;hybridize;inconsistency;inconsistent;inconstancy;inconstant;intermingle;intersperse;manifold;meld;movable;moveable;multifarious;shunt;variability;variance;variant;varied;various
🏆️,trophy,71,14,achievement;award;champion;championship;excellent;prize;reward;success;triumph;trophy;victorious;victory;win;winner;accomplished;accomplishment;achieve;best;chalice;challenge;champ;competition;competitive;contest;elite;epic;excellence;exceptional;exemplary;feat;league;mastery;outdo;overcame;overcome;prestige;prestigious;prevail;prevailing;proficient;rewarding;semifinal;succeed;successful;tournament;triumphal;ultimate;unbeatable;victor;winning;won;attainment;challenged;collectible;competitively;elitism;elitist;legendary;matchless;memorabilia;peerless;prodigious;proficiency;semifinalist;superlative;unbeaten;undefeated;unequaled;unequalled;unrivaled;unrivalled
👍️,thumbs up,71,3,approval;like;thumb;adept;alright;behave;beneficial;benefit;benign;better;commend;convenient;convincing;encourage;encouragement;estimable;favorable;good;great;nifty;popular;prefer;recommend;recommendation;reputation;super;superb;sure;admirable;adroit;ample;approbation;assent;aye;bearable;befit;behoove;believable;commendable;decent;demonstrable;deserve;deserving;encouraging;encouragingly;evident;evince;feasible;goodly;liking;manageable;masterful;masterly;popularity;popularization;popularize;preferable;preference;preferential;pro;reputable;repute;reputed;surely;tasteful;tolerable;tractable;trusty;upstanding;vouch;worthy
🔁,repeat button,70,1,repeat;again;compulsive;continual;continuous;ersatz;habit;intermittent;iterate;iteration;loop;often;pattern;periodic;recur;recurrence;recurrent;redo;reincarnate;reincarnation;reiterate;remake;reorder;repeated;repetition;repetitive;replay;accustom;accustomed;another;belabor;chronic;common;compulsion;continuance;continuity;frequent;habitual;habituate;habituation;inveterate;monomania;monomaniac;oft;quotidian;redid;redone;regain;regular;regularity;regularize;reinstate;reinstatement;reiteration;relive;remade;repetitious;reprise;reproducible;restate;restatement;retake;retaken;retook;rote;tautological;tautology;wont;wonted;would
😵,face with crossed-out eyes,70,4,confused;dizzy;faint;unconscious;befuddle;befuddled;bewilder;bewildered;bewildering;bewilderment;commotion;confound;confuse;confusing;confusion;daze;disheveled;dishevelled;giddy;groggy;hectic;hiccup;hypnosis;hypnotic;incoherence;incoherent;lost;obsess;obsession;obsessive;overwhelm;overwhelming;senseless;sleepless;stoned;stun;stupor;suffocate;suffocation;vertigo;woozy;addle;asphyxia;asphyxiate;asphyxiation;boggle;brouhaha;bumbling;cockeyed;dither;dopey;dopy;fluster;frenetic;fuddle;hiccough;hypnotism;lurch;narcosis;nonplus;semiconscious;senselessness;stupefaction;stupefy;tizzy;trance;tumult;tumultuous;turmoil;vertiginous
🎯,bullseye,69,5,aim;dart;goal;objective;target;accuracy;accurate;ambition;ambitious;aspiration;aspire;attempt;center;central;centre;concentric;epicenter;exact;exacting;exactitude;focus;intend;intended;intent;intention;intentional;marksman;mission;overshoot;overshot;precise;precision;purpose;purposeful;skill;skilled;skillful;specialize;specific;threw;aspirant;assailable;attain;attainable;ballistics;crux;focal;foci;forte;inmost;inner;maneuver;maneuverability;maneuverable;maneuvers;manoeuvre;marksmanship;motive;objectivity;opportunism;opportunist;opportunistic;proclivity;propensity;purposely;slung;snipe;specialization;unerring
🌸,cherry blossom,69,8,bloom;blossom;flower;lily;pansy;peony;petal;spring;amaryllis;begonia;blooming;boutonniere;camellia;carnation;corsage;crocus;dahlia;essence;floral;flowery;fragrance;fragrant;geranium;gladiolus;hyacinth;hydrangea;inflorescence;jasmine;magnolia;mimosa;perennial;petunia;phlox;pretty;rhododendron;sepal;stamen;wisteria;zinnia;angiosperm;anther;calyces;calyx;carpel;cerise;clematis;columbine;corolla;cyclamen;dainty;delphinium;deodorize;flora;fuchsia;gardenia;gentian;gladioli;heather;heliotrope;hollyhock;mallow;nubile;oleander;pistil;pistillate;potpourri;verbena;viburnum;vulva
🔪,kitchen knife,68,6,butcher;knife;knives;murder;scalpel;stab;abattoir;amputate;amputation;autopsy;bayonet;behead;butchery;carve;chop;cleaver;crime;dissect;dissection;eviscerate;guillotine;homicidal;homicide;incise;incision;killer;machete;mince;pare;psycho;psychopath;sacrifice;sacrificial;serrated;sharp;slash;slaughter;slit;surgical;whittle;circumcise;circumcision;cleave;decapitate;decapitation;disembowel;dismember;dismemberment;flay;haft;hone;incisive;julienne;lancet;matricide;murderess;murderous;mutilate;mutilation;nick;notch;paring;parricide;patricide;psychopathic;sliver;vendetta;whet
⚠️,warning,68,7,caution;danger;dangerous;hazard;hazardous;warn;warning;adversity;beware;careful;cautionary;cautious;dire;endanger;fault;faulty;forewarn;harm;harmful;imperil;jeopardize;jeopardy;liability;malfunction;obese;obesity;peril;perilous;precarious;precaution;problematic;severe;threat;threaten;ultimatum;unsafe;aberrant;aberration;abnormal;abnormality;admonition;admonitory;adverse;advisory;afoul;amiss;befall;befallen;befell;beset;caveat;drastic;dysfunction;dysfunctional;inauspicious;inordinate;lest;liable;precautionary;problematical;rapist;severity;ultimata;unavoidable;violable;violate;violation;vitiate
😒,unamused face,68,1,jealous;annoy;annoyance;annoying;condescend;condescending;condescension;disagreeable;discontent;discontented;dissatisfaction;dissatisfy;envious;envy;grudge;grumble;impolite;irk;irksome;jealousy;jeer;mistrust;patronizing;shifty;sketchy;sleazy;sneer;snide;snooty;ungrateful;bah;begrudge;bitchy;churl;churlish;crass;disaffected;disaffection;discontentment;discourteous;discourtesy;impolitic;incivility;invidious;loath;lout;loutish;miff;mistrustful;patronize;patronizingly;phooey;pooh;shucks;shyster;sleaze;slut;sluttish;smirch;sneeringly;unappreciative;uncharitable;uncomplimentary;ungentlemanly;ungracious;unmannerly;unprincipled;unseemly
🎩,top hat,67,2,hat;mayor;abracadabra;conjuror;dapper;derby;dignified;dignitary;dignity;distinguished;esquire;etiquette;fancy;illusion;jaunty;monopoly;presto;showman;sir;sophisticated;sophistication;trick;boater;bourgeois;bourgeoisie;brim;ceremonial;ceremonious;charlatan;coxcomb;custom;dandy;debonair;decorous;decorum;dignify;doff;fancier;fop;foppish;genteel;gentility;gentry;hatter;highfalutin;homburg;illusive;illusory;legerdemain;manner;mannered;mannerly;mayoral;mayoralty;pimp;premier;propriety;raffish;roue;showmanship;sophisticate;statesman;statesmanlike;statesmanship;trickery;trickster;trumpery
🎓️,graduation cap,67,10,college;diploma;education;graduate;graduation;lecture;scholar;student;tutor;university;academia;academic;alum;alumna;alumni;alumnus;baccalaureate;collegiate;commencement;convocation;dean;degree;doctoral;doctorate;educate;educated;educational;erudite;erudition;experienced;expert;expertise;faculty;grad;grade;learned;master;overqualified;qualification;scholastic;sophomore;tassel;trainee;tuition;tutorial;undergraduate;valedictorian;valedictory;academician;alumnae;coed;coeducation;coeducational;conferment;educable;emeritus;freshman;intercollegiate;interscholastic;matriculate;matriculation;protege;provost;teachable;technique;tutelage;upperclassman
😴,sleeping face,67,13,asleep;doze;drowsy;fatigue;lazy;nap;oversleep;siesta;sleep;sleepy;snooze;snore;tired;bore;boredom;boring;coma;comatose;dormancy;dormant;drowse;idle;inattentive;insomnia;insomniac;laze;lethargic;lethargy;overslept;pooped;repose;slumber;somnolence;somnolent;soporific;tedious;tedium;wake;weary;zonked;bleary;bushed;dreamless;enervate;fitful;inattention;lackadaisical;languid;languor;languorous;lassitude;lax;laxity;loll;lull;malinger;quiescence;quiescent;sandman;shiftless;slept;torpid;torpor;tucker;wearisome;woke;woken
⏳️,hourglass not done,66,1,wait;aeon;anachronism;anachronistic;anticipate;anticipation;await;eon;epoch;era;fleeting;impending;inevitable;interim;linger;longevity;millennium;patience;pending;presently;prolong;temporary;abiding;anon;anticipatory;awhile;bide;brink;defer;deferment;during;elapse;epochal;eventual;eventuality;impend;impermanent;inevitability;interminable;lapse;lasting;latency;lingering;lingeringly;millennia;millennial;pendulous;prolongation;protract;protraction;provisional;since;soon;stint;tarry;temp;temporal;temporize;timeless;transience;transient;transitory;until;while;whilst;yet
🏃,person running,66,10,athlete;escape;flee;jog;jogging;marathon;run;runner;running;sprint;abscond;active;athletic;busy;chase;competitor;decathlon;escapade;escapee;evade;evasion;evasive;fast;fled;fugitive;haste;hasten;hasty;hurdle;hurried;hurry;hustle;overran;overrun;pursue;pursuit;ran;relay;retreat;rush;scurry;skedaddle;activity;apace;astir;bestir;brisk;bustle;chaser;decamp;defection;doing;doings;elude;elusive;entrant;gofer;lam;lope;motile;proactive;pursuance;scram;scuttle;surpass;vamoose
📐,triangular ruler,66,2,architect;protractor;acute;angle;contour;corner;diagonal;draftsman;edge;erect;erection;geometric;geometrical;geometry;hypotenuse;incline;isosceles;lean;model;oblique;obtuse;parallelogram;perpendicular;radius;schematic;section;tangent;template;theorem;tilt;trigonometry;angular;angularity;area;arrange;askew;aslant;asymmetric;asymmetrical;asymmetry;awry;axiom;axiomatic;bevel;camber;formation;geodesic;inclination;inclined;isometric;lopsided;miter;parallax;quadrant;radii;rectilinear;scalene;sector;skew;slant;spacious;spatial;tangential;trig;vertex;vertices
🔍️,magnifying glass tilted left,66,12,clue;discover;discovery;examine;inspect;inspection;investigate;investigation;lens;magnify;scan;search;analyze;browse;decipher;deduce;delve;detail;detailed;detect;detectable;detection;distinguish;enlarge;enlargement;evidence;filter;find;finding;identify;internal;investigative;magnification;meticulous;rummage;scrutinize;scrutiny;searching;seek;translucent;transparent;zoom;anthropologist;anthropology;ascertain;ascertainable;clear;criminologist;criminology;decipherable;deducible;distinguishable;found;identifiable;minutia;minutiae;parse;particular;particularity;particularize;particularly;scrounge;sought;traceable;tracer;translucence
🐦️,bird,65,14,albatross;bird;chirp;egret;finch;heron;jay;oriole;partridge;pheasant;pigeon;robin;sparrow;thrush;avian;aviary;birdie;budgerigar;budgie;cardinal;caw;chickadee;coo;coot;cormorant;crow;cuckoo;gannet;gull;ibis;jackdaw;lark;magpie;martin;myna;mynah;nightingale;petrel;phoebe;plover;quail;raven;rhea;shrike;starling;swallow;tern;tweet;twitter;wren;bittern;covey;craw;curlew;grackle;grouse;junco;linnet;rook;squab;tanager;thrasher;tit;vireo;warbler
🚪,door,63,4,door;entrance;exit;gate;abandon;ajar;banish;close;closet;compartment;corridor;creak;creaky;doorman;egress;enter;entry;evict;eviction;exile;foyer;hinge;intrude;intrusion;knob;knock;knocker;leave;opening;opportunity;oust;ouster;out;outsider;pantry;passage;quit;sacking;secede;secession;shut;threshold;visit;visitor;admittance;antechamber;anteroom;banishment;ingress;intrusive;jamb;knobby;lintel;recluse;reclusive;roomful;secessionist;seclude;semiprivate;unhinge;vacate;vestibule;visitation
🎉,party popper,61,8,celebrate;celebration;congratulations;holiday;jubilant;parade;party;revelry;anniversary;bash;congratulate;congratulation;congratulatory;convivial;conviviality;event;eventful;extravaganza;exuberance;exuberant;festive;festivities;festivity;fete;fiesta;fun;gala;hooray;hurrah;hurray;jubilation;jubilee;merriment;occasion;promotion;rave;rejoice;revel;reveller;streamer;triumphant;unveil;yippee;bicentennial;celebrant;centenary;centennial;disport;festal;frivolity;gaiety;gaily;galore;happening;hoopla;occasional;pomp;rollicking;shebang;whoop;whoopee
🙅,person gesturing NO,60,2,no;nope;denial;deny;disagree;disagreement;disloyal;disobedience;disobedient;disobey;dissent;dissident;dissuade;incompetent;inept;insubordinate;interfere;interference;irresponsible;nay;objection;oppose;opposition;rebuff;refusal;renounce;shun;snub;spurn;unwilling;abjure;abnegation;censorious;demur;disavow;disavowal;disclaim;discountenance;disinclined;disloyalty;dissidence;dissuasion;incompetence;ineptitude;insubordination;involuntary;malediction;nonbeliever;noway;objectionable;recalcitrance;recalcitrant;renege;renunciation;repudiate;repudiation;repulse;shirk;thankless;unwise
⚙️,gear,60,5,cog;gear;machine;machinery;pulley;alloy;apparatus;configuration;contraption;contrivance;efficiency;efficient;engineering;function;functional;gizmo;grind;grinder;install;installation;mechanical;mechanics;mechanism;motor;operate;operation;pinion;piston;preset;process;sprocket;system;actuate;armature;calibrate;calibration;cam;carburetor;chromium;conformation;default;ferric;ferrous;gismo;grommet;kilter;leaden;machinist;mechanistic;motorize;operational;operative;plating;programmable;radial;setup;systemic;titanium;tungsten;winch
➕️,plus,60,2,add;plus;addition;combine;extra;include;increment;insert;join;more;positive;remainder;sum;surplus;addend;additional;also;and;append;augment;augmentation;besides;bolster;both;complement;complementary;concomitant;conducive;conjunction;conjunctive;cumulative;eke;exponent;incidental;incidentally;including;inclusion;incremental;insertion;most;mostly;much;nor;or;overmuch;redundancy;redundant;remaining;residual;subsume;subtotal;summation;superfluity;superfluous;supernumerary;too;total;ultra;with;withal
