word,llm_emoji,fit,cldr_emojis,agree
celebration,🎉,3,🥳;🙌;🎅;🤶;🎂;🎃;🎄;🎆;🎇;🎈;🎉;🎊;🎋;🎍;🎎;🎏;🎐;🎑;🎀;🎁;🎗️;🎖️;🪅;🎓️;🎌,true
cell,🦠,2,📱;📲;📵;📶;📳;📴,false
cemetery,⚰️,3,🪦,false
censor,🚫,2,🤬,false
cereal,🥣,3,🥣,true
ceremony,💍,2,🎑,false
chain,⛓️,3,⛓️,true
chair,🪑,3,💺;🪑,true
champion,🏆️,3,🏆️,true
championship,🏆️,3,⛹️,false
change,🔄,2,🪸,false
chapel,⛪️,3,💒;⛪️,true
charge,⚡️,2,💳️;💲;🈂️;🈶;🈚️,false
charm,🍀,2,🧿,false
chart,📊,3,💹;📈;📉;📊,true
check,✅️,2,🛫;✅️;☑️;✔️,true
checked,✅️,1,🛄;✅️;☑️;✔️,true
checkered,🏁,2,🏁,true
cheerful,😄,3,😀,false
cheery,😄,2,😀,false
cheese,🧀,3,🧀;🍕;🫕;🪤,true
chef,🍳,3,🔪,false
chemist,🧪,2,🧪,true
chemistry,🧪,3,⚗️;🧪,true
chemotherapy,💉,2,🦲,false
cherry,🍒,3,🌸;🍒,true
chess,♟️,3,♟️,true
chest,📦️,2,🪎;🧰,false
chevron,➡️,1,🔰,false
chick,🐤,3,🐣;🐤;🐥,true
chicken,🐔,3,🐔;🍗,true
child,🧒,3,🧒;👦;👧;👪️;🚸,true
children,🧒,3,👶;🚸,false
chime,🔔,2,🎐,false
chin,🧑,2,🤔,false
chip,🍟,2,🍪,false
chipmunk,🐿️,3,🐿️,true
chocolate,🍫,3,🫕;🍪;🍫,true
chop,🔪,2,💇;🥩;🪓,false
chuck,🎳,1,🤾,false
church,⛪️,3,👼;⛪️;🔔,true
cigarette,🚬,3,🚬,true
cinema,🎬️,3,🎥;🎞️;📽️;🎦,false
circle,⭕️,3,🛞;⏺️;⭕️;Ⓜ️;🔴;🟠;🟡;🟢;🔵;🟣;🟤;⚫️;⚪️,true
circus,🎪,3,🎪,true
citation,📜,2,👮,false
citrus,🍊,3,🍊;🍋,true
city,🏙️,3,🏢;🏙️;🌆,true
clack,🔊,1,🪭,false
claim,📢,2,🛄,false
clamp,🔧,3,🗜️,false
clap,👏,3,👏;🪭,true
clapper,🔔,1,🎬️,false
class,🏫,2,🚲️,false
classical,🎻,2,🏛️,false
classy,💅,2,🧐,false
clay,🏺,2,🧱,false
clean,🧼,3,🧼;🫧;🪥,true
clever,🧠,2,🤓,false
climate,🌍️,2,🪸,false
climb,🧗,3,🧗;🪜,true
clink,🥂,2,🍻;🥂,true
clock,🕐️,3,⌚️;⏰️;⏱️;⏲️;🕰️;🕛️;🕧️;🕐️;🕜️;🕑️;🕝️;🕒️;🕞️;🕓️;🕟️;🕔️;🕠️;🕕️;🕡️;🕖️;🕢️;🕗️;🕣️;🕘️;🕤️;🕙️;🕥️;🕚️;🕦️,true
clockwise,🔄,2,🔃;🔁;🔂,false
close,🚪,2,😥;😓,false
closed,🚫,2,😆;😚;😙;😝;😽;🌂;📕;📫️;📪️;🔒️;🔐,false
closet,🚪,2,🚪;🚾,true
clothes,👕,3,🥼;👕;👖;👗;👚;👛;👜;👝;👞;👟;👠;👢;👒;🎩,true
clothing,👕,3,👣;🌂;☂️;☔️;👓️;👔;👕;👖;👗;👘;🥻;👙;👚;👛;👜;👝;👞;👟;👠;👡;👢;👑;👒;🎩;🎓️;📿,true
cloud,☁️,3,🫯;💨;💭;☁️;⛅️;⛈️;🌤️;🌥️;🌦️;🌧️;🌨️;🌩️;🌪️;🌫️;🌬️,true
cloudy,☁️,3,⛅️,false
clover,🍀,3,🍀,true
clown,🤡,3,🤡,true
club,♣️,2,🍷;🍸️;🍹;♣️,true
clue,🔍️,3,🫆;🧩;🗝️,false
clutch,👜,2,👝,false
coaster,🥤,2,🎢,false
coat,🧥,3,🥼;🧥,true
coconut,🥥,3,🥥,true
coffee,☕️,3,☕️,true
coffin,⚰️,3,⚰️,true
cog,⚙️,3,⚙️,true
coin,🪙,3,👛;🪙,true
cold,🥶,3,😅;😷;🥶;😰;😓;🧊;🏔️;🌨️;❄️;☃️;⛄️;💧;🧣;🧥,true
collage,🖼️,2,📌,false
collar,🐶,2,👕;👚,false
collide,💥,3,💥,true
collision,💥,3,💥,true
colorful,🌈,3,🦚;🎨,false
comb,🪮,3,🪮,true
combat,⚔️,3,🤼,false
come,👋,1,🫴,false
comet,☄️,3,☄️,true
comfort,🛋️,2,🫂,false
comfortable,🛋️,2,👘,false
comfy,🛋️,2,🥿,false
comic,😂,2,💩;💢;💥;💫;💦;💨;💬;💭;💤;💧;💡;💣️;💠,false
communication,📡,2,📢;📱;📲;📞;📟️;📠;📰;📩;📦️;📫️;📝;📶;📳,false
compass,🧭,3,🧭,true
complete,✅️,2,✅️,true
complicated,🧩,2,😥,false
compress,🗜️,2,🗜️,true
computer,💻️,3,💻️;🖥️;🖨️;⌨️;🖱️;🖲️;💽;💾;💿️;📀;🛜,true
concentrate,🧠,2,😣,false
concentration,🧠,2,😣,false
concertina,🪗,2,🪗,true
conch,🐚,3,🐚,true
condiment,🧂,2,🧂;🫙,true
confetti,🎊,3,🎊,true
confused,😵,3,😕;🫤;😖,false
confusing,😵,2,😕,false
confusion,😵,2,🫤,false
conga,💃,2,🪘,false
congratulations,🎉,3,👏;㊗️,false
consider,🤔,2,🤔,true
construction,🏗️,3,👷;🏗️;🚧;🚩,true
contact,📞,2,🔎;🔭;📡,false
container,📦️,3,🫙,false
control,🎮️,3,🎛️;🛂,false
controller,🎮️,3,🎮️,true
convenience,🏪,2,🏪,true
convoluted,🌀,2,🥨,false
cookie,🍪,3,🥠;🍪,true
cooking,🍳,3,🍳;🍽️;🍴;🔪;🏺,true
cool,😎,3,😛;😎;🪭;🆒,true
cop,👮,3,👮,true
copter,🚁,3,🚁,true
coral,🪸,3,🪸,true
cord,🔌,2,🪢,false
cork,🍾,2,🍾,true
corn,🌽,3,🌽;🍿,true
correct,✅️,3,👊,false
cosmetics,💄,3,💅;💄,true
cosmetology,💄,2,💇,false
cost,💲,3,😲;😫;💰️,false
couch,🛋️,3,🛋️,true
counterpart,🤝,1,👯,false
country,🗺️,3,🏠️;🏡,false
couple,💑,3,👭;👫;👬;💏;💑,true
cover,📔,2,📔,true
cow,🐄,3,🐮;🐄,true
crab,🦀,3,🦀;♋️,true
cracked,🥚,2,🔓️,false
cracker,🍘,3,🍘,true
crane,🏗️,3,🏗️,true
crayon,🖍️,3,🖍️,true
crazy,🤪,3,😜;🤪;🫨;😳,true
cream,🥛,2,🍦;🍨,false
creative,🎨,3,🎨,true
creature,👾,2,👹;👺;👻;👽️;👾;🧜;🫈;🐙,true
credentials,🪪,2,🪪,true
credit,💳️,3,💳️,true
crescent,🌙,3,🥐;🌒;🌘;🌙;☪️,true
cricket,🏏,3,🦗;🏏,true
crime,🔪,2,🫆,false
criminal,🔫,2,🦹,false
cringe,😬,3,😖,false
crochet,🧶,3,🧶,true
crocodile,🐊,3,🐊,true
croissant,🥐,3,🥐,true
crook,🦯,1,🪝,false
cross,✝️,3,🤞;🧘;⛪️;⛑️;✝️;☦️;❌️;❎️;🎌,true
crossbones,☠️,3,☠️,true
crossing,🚸,2,🚸,true
crown,👑,3,🫅;🤴;👸;👑,true
cruise,🛳️,3,🚣,false
crush,💥,2,🥰,false
crutch,🩼,3,🩼,true
cry,😢,3,🥹;😢;😭;😿,true
crying,😢,3,🤣;😂;😪;😢;😭;😩;😿,true
crystal,💎,3,🔮,false
cube,🧊,3,🧊,true
cubical,🧊,1,🏢,false
cucumber,🥒,3,🥒,true
culture,🎭️,2,🧫,false
cup,☕️,3,🍵;🍶;🥤;🪠,false
curious,🤔,3,🦝,false
curl,➰️,2,📃;➰️;➿️,true
curly,➰️,2,🦱;➰️;➿️,true
currency,💵,3,💴;💵;💶;💷;💹;💱;💲,true
curry,🍛,3,🍛,true
curve,〰️,3,🪝,false
custard,🍮,3,🍮,true
cut,✂️,3,💇;🥩;💈;✂️;🪚,true
cute,🥰,3,🩷;🩵,false
cutlery,🍴,3,🍴,true
cutting,✂️,2,✂️,true
cycle,🔄,2,🚴;🚵;🚲️,false
cyclist,🚴,3,🚴;🚵;🚲️,true
cyclone,🌀,3,🌀,true
cygnet,🦢,2,🦢,true
dad,👨,3,🧢,false
dagger,🗡️,3,🗡️,true
dairy,🥛,3,🧈,false
dam,🌊,2,🦫,false
dance,💃,3,💃;🕺;🪩;🪭;🩰;🪇,true
dandelion,🌼,3,🌼,true
danger,⚠️,3,🛘;⚡️,false
dangerous,⚠️,3,💣️,false
dapper,🎩,2,😏,false
dark,🌑,3,🌑;🕶️,true
dart,🎯,3,🎯,true
dash,➖️,2,💨;〰️,false
dashing,😎,2,💨,false
data,📊,2,📈;📉;📊,true
date,📅,3,😗;😚;😙;💘;💕;💏;💐;💄;📅,true
daughter,👧,3,👧,true
day,☀️,3,🧖;🌞,false
daze,😵,2,🫨,false
dead,💀,3,😑;😵;😳;💀;☠️;🧟;🪾;⚰️;🪦,true
deaf,🦻,2,🧏,false
deal,🤝,2,🤝,true
death,💀,3,💀;☠️;⚰️;⚱️,true
debate,🗣️,2,🫯,false
deciduous,🍂,2,🌳,false
decor,🖼️,2,🪴,false
decoration,🎀,3,💟;🎍,false
decorative,🎀,2,📔,false
deer,🦌,3,🦌,true
dejected,😞,3,😅;😔;😞,true
delicious,😋,3,😋;🍴,true
delivery,📦️,3,🥡;🚚;📦️,true
demon,👹,3,😈;👿,false
demonstration,📢,2,🪧,false
denim,👖,3,👖,true
dental,🦷,3,🪥,false
dentist,🦷,3,😬;😷;🦷,true
department,🏢,2,🏬,false
departure,✈️,2,🛫,false
depressed,😔,3,🫥,false
derelict,🏚️,2,🏚️,true
dermatologist,🩺,2,😷,false
desert,🏜️,3,🐪;🐫;🌵;🏜️;🏝️,true
dessert,🍰,3,🍡;🍦;🍧;🍨;🍩;🍪;🎂;🍰;🧁;🍫;🍬;🍭;🍮,true
detective,🕵️,3,🕵️;🫆,true
devil,😈,3,😈;👿;👹,true
diagonal,📐,2,🫤,false
dialog,💬,2,💬;🗨️,true
diamond,💎,3,♦️;💍;💎;🔶;🔷;🔸;🔹;💠,true
diaper,🍼,3,🧷,false
dice,🎲,3,🎲,true
die,💀,3,🎲,false
diesel,⛽️,2,⛽️,true
diet,🥗,3,🍎,false
difficult,😖,2,☯️,false
dig,⛏️,3,🪏,false
dim,💡,2,🔅,false
dinner,🍽️,3,🐟️;🍽️;🍴,true
dinosaur,🦕,3,🦕;🦖,true
direct,➡️,2,🎯,false
direction,➡️,3,🧭;⬆️;↗️;➡️;↘️;⬇️;↙️;⬅️;↖️,true
disability,♿️,2,🩼,false
disagreement,🙅,2,🫯,false
disappear,💨,3,🫠;🫥,false
disappointed,😞,3,😔;🫤;😥;😞;🙍;🙎,true
disapproval,👎️,2,🤨,false
disaster,🌪️,3,🛘,false
disbelief,😲,2,🫢;🤨;😳;🤦,false
disc,💿️,3,🥏,false
disco,🕺,3,🪩,false
discount,🏷️,3,🈹,false
disease,🦠,3,🦟;🪰,false
disgruntled,😠,2,🙍,false
disguise,🥸,3,🥸,true
dish,🍽️,3,🧫;📡,false
disk,💽,3,💽;💾;💿️;📀,true
dislike,👎️,3,👎️,true
dismiss,👋,2,🫳,false
dissolve,💧,2,🫠,false
distraught,😰,2,😖,false
distrust,🤨,2,🤨,true
disturbed,😟,2,🙍,false
dive,🤿,3,🥽,false
divide,➗️,3,➗️,true
